index,start,end,duration
0,1387467863.0,1387467880.0,17.0
1,1387467881.0,1387468287.0,406.0
2,1387470702.0,1387497578.0,26876.0
3,1387500782.0,1387511647.0,10865.0
4,1387513848.0,1387609426.0,95578.0
5,1387622727.0,1387637112.0,14385.0
6,1387642884.0,1387678155.0,35271.0
7,1387682595.0,1387696797.0,14202.0
8,1387697813.0,1387706314.0,8501.0
9,1387721669.0,1387725556.0,3887.0
10,1387725557.0,1387743818.0,18261.0
11,1387745979.0,1387783246.0,37267.0
12,1387783251.0,1387783261.0,10.0
13,1387783578.0,1387787623.0,4045.0
14,1387813009.0,1387868651.0,55642.0
15,1387869096.0,1387876632.0,7536.0
16,1387906766.0,1387931885.0,25119.0
17,1387940620.0,1387954830.0,14210.0
18,1387981273.0,1388004383.0,23110.0
19,1388006803.0,1388039590.0,32787.0
20,1388042024.0,1388043028.0,1004.0
21,1388050432.0,1388062029.0,11597.0
22,1388062271.0,1388063982.0,1711.0
23,1388069932.0,1388129020.0,59088.0
